date,BCSMASS,DUCMASS25,OCSMASS,PM2_5_proxy,SO2_CMASS,SO2_SMASS,SO4CMASS,SSCMASS25,TO3_dobson
1/1/2014,9.75E-10,2.43E-06,4.13E-09,1.24E-05,4.65E-07,5.24E-10,6.72E-06,3.25E-06,244.9567502
1/2/2014,1.22E-09,1.96E-06,5.19E-09,1.23E-05,4.22E-07,4.73E-10,7.66E-06,2.66E-06,239.031517
1/3/2014,1.54E-09,2.06E-06,6.52E-09,1.53E-05,5.98E-07,7.91E-10,1.07E-05,2.49E-06,238.5507355
1/4/2014,1.52E-09,1.40E-06,6.47E-09,1.25E-05,1.04E-06,1.06E-09,8.64E-06,2.50E-06,235.7096418
1/5/2014,1.61E-09,1.87E-06,6.88E-09,1.38E-05,5.95E-07,8.85E-10,1.02E-05,1.71E-06,238.4155807
1/6/2014,1.34E-09,2.01E-06,5.71E-09,1.11E-05,4.72E-07,5.89E-10,7.87E-06,1.24E-06,241.5379601
1/7/2014,1.21E-09,1.86E-06,5.15E-09,1.03E-05,7.24E-07,7.05E-10,6.29E-06,2.14E-06,245.1416308
1/8/2014,1.26E-09,2.24E-06,5.39E-09,1.33E-05,1.00E-06,9.29E-10,8.33E-06,2.68E-06,245.1073647
1/9/2014,1.34E-09,2.24E-06,5.68E-09,1.47E-05,1.03E-06,7.86E-10,9.73E-06,2.70E-06,238.8661842
1/10/2014,1.63E-09,2.26E-06,6.87E-09,1.67E-05,1.05E-06,8.13E-10,1.26E-05,1.86E-06,240.2652931
1/11/2014,1.26E-09,2.33E-06,5.55E-09,1.64E-05,1.17E-06,8.89E-10,1.17E-05,2.40E-06,240.2284915
1/12/2014,7.81E-10,2.37E-06,3.49E-09,1.35E-05,1.60E-06,1.06E-09,8.60E-06,2.49E-06,237.8115336
1/13/2014,7.06E-10,1.59E-06,3.19E-09,8.61E-06,9.43E-07,7.46E-10,5.07E-06,1.95E-06,236.5219167
1/14/2014,8.68E-10,1.01E-06,3.88E-09,1.05E-05,1.78E-06,1.35E-09,6.05E-06,3.42E-06,237.0730031
1/15/2014,1.20E-09,9.96E-07,5.27E-09,1.56E-05,1.98E-06,1.25E-09,1.00E-05,4.54E-06,237.9634323
1/16/2014,1.37E-09,1.84E-06,5.76E-09,2.59E-05,1.51E-06,9.40E-10,2.08E-05,3.29E-06,240.0167923
1/17/2014,1.32E-09,1.85E-06,5.48E-09,2.54E-05,1.19E-06,8.69E-10,2.11E-05,2.48E-06,241.110714
1/18/2014,1.16E-09,1.59E-06,4.91E-09,1.73E-05,1.20E-06,1.23E-09,1.37E-05,1.95E-06,242.0535049
1/19/2014,7.20E-10,1.38E-06,3.03E-09,8.67E-06,4.20E-07,5.51E-10,5.68E-06,1.61E-06,242.0281588
1/20/2014,6.32E-10,1.36E-06,2.60E-09,6.76E-06,6.54E-07,7.49E-10,4.45E-06,9.45E-07,242.7142537
1/21/2014,8.77E-10,1.62E-06,3.71E-09,1.36E-05,1.15E-06,1.06E-09,9.18E-06,2.83E-06,242.144427
1/22/2014,1.00E-09,1.65E-06,4.29E-09,1.62E-05,1.82E-06,2.21E-09,9.33E-06,5.24E-06,239.6505508
1/23/2014,1.09E-09,1.55E-06,4.64E-09,1.61E-05,2.25E-06,2.11E-09,9.59E-06,5.00E-06,241.6556129
1/24/2014,9.20E-10,1.40E-06,3.87E-09,1.54E-05,1.35E-06,1.11E-09,1.06E-05,3.31E-06,242.4367727
