system:index,CO_column_number_density,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,date
0,0.039911775,5.32E-05,0.107786221,1.44E-04,1/1/2024
1,0.037902316,4.76E-05,0.106225256,1.19E-04,1/2/2024
2,0.041599688,5.01E-05,0.10657741,1.41E-04,1/3/2024
3,0.038336093,4.85E-05,0.106398601,,1/4/2024
4,0.040911909,3.88E-05,0.107821844,,1/5/2024
5,0.038030408,5.13E-05,0.108218161,-1.41E-04,1/6/2024
6,0.040121632,4.85E-05,0.108034209,5.76E-05,1/7/2024
7,0.035462724,7.31E-05,0.105585653,,1/8/2024
8,0.038002651,4.61E-05,0.108004945,5.26E-04,1/9/2024
9,0.03617798,5.54E-05,0.107192371,5.31E-05,1/10/2024
10,0.034880779,5.19E-05,0.107969509,5.64E-05,1/11/2024
11,0.035816411,4.86E-05,0.109888804,1.19E-04,1/12/2024
12,0.037087097,6.17E-05,0.107131968,6.68E-05,1/13/2024
13,0.038535783,5.51E-05,0.110563374,-9.88E-05,1/14/2024
14,0.037781168,5.33E-05,0.107026736,-1.49E-04,1/15/2024
15,0.034265087,4.49E-05,0.109616955,7.37E-04,1/16/2024
16,0.038047884,5.80E-05,0.108074731,7.94E-05,1/17/2024
17,0.033854973,5.26E-05,0.107271066,3.44E-05,1/18/2024
18,0.035322697,5.35E-05,0.107647293,4.96E-05,1/19/2024
19,0.034656726,4.83E-05,0.108047119,-4.68E-05,1/20/2024
20,0.035636675,5.46E-05,0.108527293,-1.31E-04,1/21/2024
21,0.035983543,5.72E-05,0.109261557,8.86E-05,1/22/2024
22,0.036240881,5.52E-05,0.109487523,1.49E-04,1/23/2024
23,0.034492452,5.30E-05,0.111071052,1.11E-04,1/24/2024
24,0.034465612,5.63E-05,0.112274104,3.54E-04,1/25/2024
25,0.034146468,5.05E-05,0.112952972,-6.05E-05,1/26/2024
26,0.035377028,6.82E-05,0.111556672,1.51E-04,1/27/2024
27,0.036112942,4.40E-05,0.111688014,,1/28/2024
28,0.037306399,5.38E-05,0.112792054,1.59E-04,1/29/2024
29,0.040114469,6.26E-05,0.112818516,2.38E-04,1/30/2024
30,0.039836024,5.39E-05,0.112125187,5.63E-05,1/31/2024
31,0.035932948,6.75E-05,0.110563629,4.83E-04,2/1/2024
32,0.040376404,6.64E-05,0.111425402,,2/2/2024
33,0.035601276,5.45E-05,0.110811729,-2.06E-04,2/3/2024
34,0.038580871,6.06E-05,0.109500726,1.08E-04,2/4/2024
35,0.036489215,6.08E-05,0.111619921,-8.94E-05,2/5/2024
36,0.037570503,6.03E-05,0.110687262,-7.57E-05,2/6/2024
37,0.035981591,6.66E-05,0.110611135,4.70E-05,2/7/2024
38,0.037498114,7.05E-05,0.110477929,1.97E-04,2/8/2024
39,0.036474277,7.08E-05,0.10609946,1.75E-04,2/9/2024
40,0.035432999,5.71E-05,0.110102525,8.60E-05,2/10/2024
41,0.035067434,4.84E-05,0.11147626,1.48E-04,2/11/2024
42,0.034679266,6.33E-05,0.112641355,1.84E-04,2/12/2024
43,0.034821207,5.10E-05,0.113405101,1.14E-04,2/13/2024
44,0.036752563,4.82E-05,0.111671494,-6.87E-05,2/14/2024
45,0.034210764,5.09E-05,0.110871772,-1.55E-05,2/15/2024
